11597,33,0,9951,1068,78178,17632,28402,4027,49,5850,44445,36634,100,23,50,769,92251,26490,7276,7640,4821,5897,589,34922,81190,18766,4868,3224,10631,20,10502,6348,2212,114305,4071,261351,6877,668,7,26797,1102,2143,62154,2586,11277,3475,1199,7824,19456,3121,71,2,26018,17609,515,5442,258
11872,42,0,10178,1082,80349,17794,28694,3973,49,5994,44892,37180,100,23,50,732,93651,26881,6799,7689,4877,6208,580,36597,81987,19099,4732,3469,10762,18,10731,6404,2280,115112,4120,262401,6909,680,6,27232,1061,2180,62683,2681,11396,3206,1125,7138,19805,3247,70,2,26832,17780,512,5047,262
12530,39,0,10386,1044,82500,18020,29224,3919,49,6085,45375,38104,100,24,48,761,95893,27410,6865,7832,4965,6459,646,37207,82904,19715,4657,3716,10888,22,10984,6675,2403,116082,4152,263848,7899,744,6,27655,967,2251,63356,2741,11788,3317,1108,6324,19906,3197,66,2,27310,17934,548,5204,248
12759,35,0,10712,1433,84448,18349,29361,3939,49,6315,46531,38888,100,35,52,741,98081,28023,7088,7948,4981,7626,659,38273,83936,20147,4894,3961,11021,23,11289,6678,2348,116504,4193,264889,8147,838,7,28330,1015,2266,64383,2787,11968,3514,984,6457,21252,3186,69,2,28259,18073,540,5386,255
5178,37,0,10900,1470,86586,18583,28876,3911,49,6406,47261,39674,100,35,46,796,100729,28468,6989,8219,5027,8008,681,38974,84661,20521,5458,4349,11159,22,11515,6800,2043,117103,4282,266009,9698,860,7,28922,1009,2341,27434,2904,12073,3476,1039,6513,20846,3216,64,2,28851,18215,650,5538,240
5617,39,0,11219,1631,88801,19025,29220,3753,49,6464,47894,40420,100,26,41,781,103006,28937,7198,8256,5111,8008,704,39969,85358,15974,5499,4708,11284,22,11816,6780,1684,117296,4174,267603,10449,862,7,29452,1004,2365,26378,2973,12249,3727,1078,6711,21021,3265,63,2,29543,18215,523,5682,250
5976,39,0,11444,1658,90266,19202,29648,3885,49,6603,48630,41075,100,23,37,792,105448,29400,7477,8314,5078,8229,714,40717,86303,16283,5580,4954,11463,22,11987,7142,1743,117976,4269,268294,10944,869,7,29942,1038,2403,25800,3062,12338,3918,1142,6938,20948,3214,63,2,29971,18767,566,5768,270
6469,37,0,11564,1663,92631,19257,30004,3940,49,6705,49494,41552,100,23,35,792,107132,29731,7724,8425,5078,6418,706,41521,86855,16472,5609,3422,11787,22,12215,7203,1783,118692,4242,269255,8313,852,7,30490,1063,2425,25868,3131,12338,3675,1121,7124,19584,3205,65,2,31374,18995,567,5863,256
7119,38,0,11757,1729,95568,19498,30407,3929,49,6814,49996,42087,100,23,34,792,108272,30074,7435,8496,5455,6652,712,42020,87220,16670,5529,3678,11886,21,12472,7289,1583,119186,4283,270091,8700,667,7,31004,997,2024,25747,3195,12418,3868,1075,7208,19309,3173,65,2,32879,19103,522,5941,230
7498,37,0,12123,1733,97155,19621,30358,3843,49,6879,50315,42705,100,22,34,518,109223,30407,7857,8544,5553,7074,699,42630,87673,17106,5208,3973,12127,20,12831,7347,1513,119737,4359,270849,9118,621,7,31395,772,2095,25254,3268,12523,4055,1037,7016,19335,3102,68,2,33601,19311,634,6077,239
6584,48,0,12565,1830,99820,19903,30606,3816,49,6957,50921,43293,100,23,30,503,110647,31000,7721,8623,5652,7361,703,43813,88255,17474,5315,4278,12273,23,13086,7436,1466,119972,4391,272250,9970,631,7,31817,712,1954,24021,3355,12631,4216,1041,6691,19879,3192,64,2,34591,19658,650,6040,237
7066,52,0,13035,2062,102545,20324,30767,3777,49,6989,52084,43894,100,23,28,493,112185,31448,7680,8900,5865,7335,683,44951,88794,18047,5595,4682,12354,28,13484,7542,1524,121229,4465,273349,11012,579,7,32435,669,1999,23150,3515,12736,4189,1063,6737,19214,3344,61,2,35527,19960,636,6259,242
7386,55,0,13697,1714,105751,20782,30983,3856,49,7155,52977,44327,100,23,29,496,113587,32086,7694,8928,6042,8091,688,45857,89533,13406,5290,5105,12524,40,13735,7672,1452,121673,4545,274341,11911,551,5,32884,649,1895,23027,3585,12883,4448,1093,7009,20955,3426,57,2,36496,20231,624,6304,224
7967,81,0,14268,1845,107779,21000,31130,3866,49,7219,53712,45010,100,23,29,509,114870,10736,7870,8938,6041,8425,684,46482,90119,13807,5105,5388,12662,42,13931,7783,1466,122187,4498,275052,12894,557,5,33358,592,1938,22384,3640,12958,4908,1094,6902,20554,3547,53,2,37364,20584,632,6165,229
8629,88,0,14342,1909,110516,21186,31259,3884,49,7263,54370,45808,100,25,27,509,115822,10463,7704,9156,6375,5812,674,46993,93770,13917,4707,3810,12948,41,14175,7826,1492,122492,4585,275684,9784,486,4,33777,728,1984,22651,3737,12990,5189,1069,6638,20572,3635,48,2,38107,20854,639,6110,226
8758,105,0,15354,2281,112910,21346,31496,3870,49,7279,54917,46105,100,22,28,584,117323,10417,7716,9188,6468,6183,637,47723,94078,14079,4045,4071,13229,44,14446,7977,1539,122959,4769,276810,10202,454,5,34091,754,2014,22720,3797,13078,4938,1015,8045,21077,3770,54,2,38821,21028,637,6138,228
6803,121,0,16297,2208,114974,21569,31591,3844,49,7405,56198,46771,100,21,27,568,118209,10323,7662,9274,6677,6535,624,48371,94440,14366,3604,4337,13398,44,7972,8019,1459,123180,4805,277564,11417,444,-8,34492,753,2041,22123,3883,13166,4938,1016,8126,21275,3879,56,2,39312,21349,618,6612,184
